"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"471","~rain_cv2 + season2","~year2","~rain_cv2 * season2 + sex","Phi(~rain_cv2 + season2)p(~year2)f(~rain_cv2 * season2 + sex)",19,17733.878502706,204.786830406618,0,921.48498
"224","~oni_avg2 + season2 + sex","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~oni_avg2 + season2 + sex)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",32,17733.912488681,204.82081638162,0,895.10976
"64","~gpp_avg2 + season2 + sex","~time","~gpp_avg2 + season2","Phi(~gpp_avg2 + season2 + sex)p(~time)f(~gpp_avg2 + season2)",29,17734.1567285887,205.065056289328,0,901.46677
"898","~temp_cv2 + season2","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~temp_cv2 + season2)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",31,17734.7306722993,205.639000000003,0,897.96658
"290","~rain_cv_lag2","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_cv_lag2)p(~time)f(~rain_cv_lag2 * season2 + sex)",29,17734.7717285887,205.680056289326,0,902.08238
"942","~temp_cv2 * season2","~time + sex","~rain_cv_lag2 + season2","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_cv_lag2 + season2)",30,17734.9590859729,205.867413673517,0,900.23318
"70","~gpp_avg2 + season2 + sex","~time + sex","~gpp_avg2 + season2","Phi(~gpp_avg2 + season2 + sex)p(~time + sex)f(~gpp_avg2 + season2)",30,17735.0850859729,205.993413673517,0,900.35887
"71","~gpp_avg2 + season2 + sex","~time + sex","~gpp_avg2 * season2","Phi(~gpp_avg2 + season2 + sex)p(~time + sex)f(~gpp_avg2 * season2)",31,17736.7926722993,207.701000000001,0,900.02885
"797","~rain_sum2 * season2","~year2","~oni_avg2 + season2","Phi(~rain_sum2 * season2)p(~year2)f(~oni_avg2 + season2)",18,17737.1195906222,208.027918322849,0,926.74874
"287","~rain_cv_lag2","~time","~oni_avg2 + season2","Phi(~rain_cv_lag2)p(~time)f(~oni_avg2 + season2)",27,17737.4636962025,208.372023903197,0,908.8434
"288","~rain_cv_lag2","~time","~oni_avg2 * season2","Phi(~rain_cv_lag2)p(~time)f(~oni_avg2 * season2)",28,17737.6135990353,208.521926735939,0,906.95869
"301","~rain_cv_lag2","~time + sex","~oni_avg2 + season2","Phi(~rain_cv_lag2)p(~time + sex)f(~oni_avg2 + season2)",28,17739.3635990353,210.271926735939,0,908.70934
"302","~rain_cv_lag2","~time + sex","~oni_avg2 * season2","Phi(~rain_cv_lag2)p(~time + sex)f(~oni_avg2 * season2)",29,17739.3707285887,210.279056289328,0,906.68072
"276","~oni_avg2 * season2 + sex","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~oni_avg2 * season2 + sex)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",33,17742.3025362319,213.210863932549,0,901.45988
