"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"10355","~temp_cv2 + season2","~year2 * season2 + sex","~rain_sum2 + season2 + sex + year2","Phi(~temp_cv2 + season2)p(~year2 * season2 + sex)f(~rain_sum2 + season2 + sex + year2)",40,17511.7694357035,95.9487852180428,0,656.61167
"2073","~oni_avg2 + season2 + sex","~year2 * season2 + sex","~year2 * season2 + sex","Phi(~oni_avg2 + season2 + sex)p(~year2 * season2 + sex)f(~year2 * season2 + sex)",49,17511.7896504854,95.969000000001,0,638.13806
"1949","~oni_avg2 + season2 + sex","~time + sex","~year2 * season2 + sex","Phi(~oni_avg2 + season2 + sex)p(~time + sex)f(~year2 * season2 + sex)",49,17511.8016504854,95.9809999999998,0,638.15016
"9360","~rain_sum2 + year2","~year2 + sex","~rain_sum_lag2 * season2 + year2","Phi(~rain_sum2 + year2)p(~year2 + sex)f(~rain_sum_lag2 * season2 + year2)",38,17511.8152806169,95.9946301314412,0,660.75406
"1571","~gpp_avg2 * season2 + year2","~year2","~rain_cv_lag2 * season2 + sex","Phi(~gpp_avg2 * season2 + year2)p(~year2)f(~rain_cv_lag2 * season2 + sex)",30,17511.8420859729,96.0214354874151,0,677.11556
"4663","~rain_cv_lag2 * season2 + sex","~year2","~rain_sum2 * season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~rain_sum2 * season2 + sex + year2)",31,17511.8576722993,96.0370218138996,0,675.09403
"9836","~rain_sum2 * season2 + sex + year2","~year2","~temp_cv2 + season2","Phi(~rain_sum2 * season2 + sex + year2)p(~year2)f(~temp_cv2 + season2)",29,17511.8787285887,96.0580781032259,0,679.1893
"3645","~rain_cv_lag2 + season2","~year2 + sex","~oni_avg2 + season2 + sex + year2","Phi(~rain_cv_lag2 + season2)p(~year2 + sex)f(~oni_avg2 + season2 + sex + year2)",29,17511.9507285887,96.130078103226,0,679.26119
"2682","~oni_avg2 + year2","~year2 * season2 + sex","~rain_cv_lag2 * season2 + sex + year2","Phi(~oni_avg2 + year2)p(~year2 * season2 + sex)f(~rain_cv_lag2 * season2 + sex + year2)",50,17511.9897996965,96.1691492110731,0,636.27663
"2161","~oni_avg2 + season2 + sex + year2","~year2","~temp_cv2 + season2 + year2","Phi(~oni_avg2 + season2 + sex + year2)p(~year2)f(~temp_cv2 + season2 + year2)",38,17512.0182806169,96.1976301314389,0,660.95701
"1055","~gpp_avg2 * season2","~year2 + sex","~gpp_avg2 * season2 + sex + year2","Phi(~gpp_avg2 * season2)p(~year2 + sex)f(~gpp_avg2 * season2 + sex + year2)",31,17512.0436722993,96.2230218139011,0,675.27962
"2119","~oni_avg2 + season2 + sex + year2","~year2","~gpp_avg2 + season2 + year2","Phi(~oni_avg2 + season2 + sex + year2)p(~year2)f(~gpp_avg2 + season2 + year2)",38,17512.0512806169,96.2306301314384,0,660.99018
"10818","~temp_cv2 + season2 + year2","~year2 + sex","~rain_cv2 * season2 + sex","Phi(~temp_cv2 + season2 + year2)p(~year2 + sex)f(~rain_cv2 * season2 + sex)",30,17512.1160859729,96.2954354874164,0,677.38992
"11341","~temp_cv2 * season2 + sex","~year2 * season2 + sex","~oni_avg2 + season2 + year2","Phi(~temp_cv2 * season2 + sex)p(~year2 * season2 + sex)f(~oni_avg2 + season2 + year2)",41,17512.1333728814,96.31272239592,0,654.92631
"9356","~rain_sum2 + year2","~year2 + sex","~rain_sum_lag2 + season2 + year2","Phi(~rain_sum2 + year2)p(~year2 + sex)f(~rain_sum_lag2 + season2 + year2)",37,17512.1380604595,96.3174099740572,0,663.12259
"8865","~rain_sum2 + season2 + sex + year2","~year2","~rain_cv_lag2 + season2","Phi(~rain_sum2 + season2 + sex + year2)p(~year2)f(~rain_cv_lag2 + season2)",28,17512.1405990353,96.3199485498408,0,681.48637
"9325","~rain_sum2 + year2","~year2 + sex","~gpp_avg2 + season2 + year2","Phi(~rain_sum2 + year2)p(~year2 + sex)f(~gpp_avg2 + season2 + year2)",37,17512.1410604595,96.3204099740578,0,663.12576
"4535","~rain_cv_lag2 * season2","~year2 + sex","~year2 + season2 + sex","Phi(~rain_cv_lag2 * season2)p(~year2 + sex)f(~year2 + season2 + sex)",29,17512.1537285887,96.3330781032273,0,679.46421
"6728","~rain_cv2 * season2 + year2","~year2 + sex","~rain_cv2 * season2 + sex","Phi(~rain_cv2 * season2 + year2)p(~year2 + sex)f(~rain_cv2 * season2 + sex)",31,17512.1776722993,96.357021813903,0,675.41396
"288","~gpp_avg2 + season2 + sex","~year2","~rain_sum2 + season2 + sex + year2","Phi(~gpp_avg2 + season2 + sex)p(~year2)f(~rain_sum2 + season2 + sex + year2)",29,17512.2157285887,96.3950781032254,0,679.52575
"10503","~temp_cv2 + season2 + sex","~year2 * season2 + sex","~temp_cv2 * season2 + sex + year2","Phi(~temp_cv2 + season2 + sex)p(~year2 * season2 + sex)f(~temp_cv2 * season2 + sex + year2)",42,17512.220551317,96.3999008315513,0,652.96214
"9007","~rain_sum2 + season2 + year2","~time + sex","~gpp_avg2 + season2 + sex","Phi(~rain_sum2 + season2 + year2)p(~time + sex)f(~gpp_avg2 + season2 + sex)",40,17512.2374357035,96.4167852180435,0,657.08039
"9152","~rain_sum2 + season2 + year2","~year2 * season2 + sex","~gpp_avg2 + season2 + sex","Phi(~rain_sum2 + season2 + year2)p(~year2 * season2 + sex)f(~gpp_avg2 + season2 + sex)",40,17512.2374357035,96.4167852180435,0,657.08039
