"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"98","~season2","~season2","~year2 + season2 * sex","Phi(~season2)p(~season2)f(~year2 + season2 * sex)",18,17660.6645906222,220.961851965196,0,850.29362
"468","~year2","~season2","~year2 + season2 + sex","Phi(~year2)p(~season2)f(~year2 + season2 + sex)",26,17662.4320189816,222.729280324635,0,835.84356
"83","~season2","~1","~year2 + season2","Phi(~season2)p(~1)f(~year2 + season2)",15,17662.4761441441,222.773405487158,0,858.16691
"718","~year2 + season2 + sex","~time + sex","~season2 * sex","Phi(~year2 + season2 + sex)p(~time + sex)f(~season2 * sex)",40,17662.5224357035,222.819697046492,0,807.36508
"199","~season2 + sex","~season2","~year2 + season2 + sex","Phi(~season2 + sex)p(~season2)f(~year2 + season2 + sex)",18,17662.6285906222,222.925851965196,0,852.25773
"298","~season2 * sex","~season2","~year2 + season2 + sex","Phi(~season2 * sex)p(~season2)f(~year2 + season2 + sex)",19,17664.651502706,224.948764048964,0,852.25748
"198","~season2 + sex","~season2","~year2 + season2","Phi(~season2 + sex)p(~season2)f(~year2 + season2)",17,17666.0808942308,226.378155573784,0,857.73179
"480","~year2","~season2 + sex","~year2 + season2","Phi(~year2)p(~season2 + sex)f(~year2 + season2)",26,17666.9890189816,227.286280324635,0,840.40103
"932","~year2 + sex","~time","~season2","Phi(~year2 + sex)p(~time)f(~season2)",36,17667.5390770626,227.83633840557,0,820.56858
"297","~season2 * sex","~season2","~year2 + season2","Phi(~season2 * sex)p(~season2)f(~year2 + season2)",18,17668.1025906222,228.399851965198,0,857.73197
"467","~year2","~season2","~year2 + season2","Phi(~year2)p(~season2)f(~year2 + season2)",25,17669.0145662651,229.311827608075,0,844.45767
"97","~season2","~season2","~year2 + season2 + sex","Phi(~season2)p(~season2)f(~year2 + season2 + sex)",17,17669.3628942308,229.660155573783,0,861.01433
"1047","~year2 * sex","~time","~year2 + season2 + sex","Phi(~year2 * sex)p(~time)f(~year2 + season2 + sex)",57,17674.3059489051,234.603210248122,0,784.12958
"390","~sex","~season2","~year2 * season2 + sex","Phi(~sex)p(~season2)f(~year2 * season2 + sex)",26,17674.5650189816,234.862280324636,0,847.97685
"840","~year2 + season2 * sex","~year2","~season2 + sex","Phi(~year2 + season2 * sex)p(~year2)f(~season2 + sex)",28,17675.6445990353,235.941860378287,0,844.98978
"403","~sex","~season2 + sex","~year2 * season2 + sex","Phi(~sex)p(~season2 + sex)f(~year2 * season2 + sex)",27,17675.9326962025,236.229957545544,0,847.31179
"96","~season2","~season2","~year2 + season2","Phi(~season2)p(~season2)f(~year2 + season2)",16,17676.1134124362,236.410673779181,0,869.78483
"285","~season2 * sex","~1","~year2 + season2 + sex","Phi(~season2 * sex)p(~1)f(~year2 + season2 + sex)",18,17678.9775906222,239.274851965198,0,868.60697
"185","~season2 + sex","~1","~year2 + season2","Phi(~season2 + sex)p(~1)f(~year2 + season2)",16,17681.3794124362,241.67667377918,0,875.05115
"961","~year2 + sex","~year2 + sex","~year2 + season2","Phi(~year2 + sex)p(~year2 + sex)f(~year2 + season2)",36,17681.5440770626,241.841338405571,0,834.57356
"284","~season2 * sex","~1","~year2 + season2","Phi(~season2 * sex)p(~1)f(~year2 + season2)",17,17683.4008942308,243.698155573784,0,875.0523
